customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,ChurnProbability,PredictedChurn,RiskLevel,HighValueCustomer,RetentionPriority,RecommendedAction
7590-VHVEG,Female,0,Yes,No,1,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,29.85,29.85,0,0.8055784273269915,1,Very High Risk,False,Priority 2,Offer incentive to move to a long-term contract | Encourage automatic payment adoption | Provide proactive onboarding and early engagement
5575-GNVDE,Male,0,No,No,34,Yes,No,DSL,Yes,No,Yes,No,No,No,One year,No,Mailed check,56.95,1889.5,0,0.11621199624082353,0,Low Risk,False,Low Priority,Offer trial or discounted technical support
7795-CFOCW,Male,0,No,No,45,No,No phone service,DSL,Yes,No,Yes,Yes,No,No,One year,No,Bank transfer (automatic),42.3,1840.75,0,0.07934608353062177,0,Low Risk,False,Low Priority,Use loyalty and customer-engagement campaign
1452-KIOVK,Male,0,No,Yes,22,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),89.1,1949.4,0,0.7212783784043587,1,High Risk,False,Priority 3,Offer incentive to move to a long-term contract | Offer trial or discounted technical support | Promote bundled online security services
6713-OKOMC,Female,0,No,No,10,No,No phone service,DSL,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,29.75,301.9,0,0.5245312045030223,1,High Risk,False,Priority 3,Offer incentive to move to a long-term contract | Provide proactive onboarding and early engagement | Offer trial or discounted technical support
6388-TABGU,Male,0,No,Yes,62,Yes,No,DSL,Yes,Yes,No,No,No,No,One year,No,Bank transfer (automatic),56.15,3487.95,0,0.03308416325160168,0,Low Risk,False,Low Priority,Offer trial or discounted technical support
9763-GRSKD,Male,0,Yes,Yes,13,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,49.95,587.45,0,0.4115338759661922,0,Medium Risk,False,Monitor,Offer incentive to move to a long-term contract | Offer trial or discounted technical support
7469-LKBCI,Male,0,No,No,16,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),18.95,326.8,0,0.073376379104832,0,Low Risk,False,Low Priority,Use loyalty and customer-engagement campaign
8091-TTVAX,Male,0,Yes,No,58,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,One year,No,Credit card (automatic),100.35,5681.1,0,0.39095361188537286,0,Medium Risk,True,Monitor,Conduct plan review or provide personalized retention offer | Offer trial or discounted technical support | Promote bundled online security services
5129-JLPIS,Male,0,No,No,25,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,105.5,2686.05,0,0.7095203641485008,1,High Risk,True,Priority 2,Offer incentive to move to a long-term contract | Encourage automatic payment adoption | Conduct plan review or provide personalized retention offer
