TenureSegment,ChargeSegment,Contract,Total_Customers,Churned_Customers,Churn_Rate,Average_Monthly_Charges,Average_Total_Charges,Churn_Rate_Percentage
0-12 Months,High,Month-to-month,214,165,0.7710280373831776,96.56915887850467,577.0591121495327,77.1
0-12 Months,Medium-High,Month-to-month,598,403,0.6739130434782609,79.20811036789297,382.10811036789295,67.39
13-24 Months,High,Month-to-month,180,101,0.5611111111111111,97.15027777777777,1794.5919444444444,56.11
61-72 Months,Low,Month-to-month,2,1,0.5,26.5,1649.875,50.0
0-12 Months,Medium-Low,Month-to-month,664,302,0.45481927710843373,54.90692771084337,231.50165662650602,45.48
13-24 Months,Medium-High,Month-to-month,245,109,0.4448979591836735,81.01469387755101,1451.8085714285714,44.49
25-48 Months,High,Month-to-month,291,127,0.436426116838488,99.11202749140892,3570.609793814433,43.64
25-48 Months,Medium-High,Month-to-month,244,96,0.39344262295081966,81.38463114754097,2766.7358606557377,39.34
49-60 Months,High,Month-to-month,114,40,0.3508771929824561,99.56184210526315,5416.638596491229,35.09
13-24 Months,High,One year,12,4,0.3333333333333333,99.83749999999999,1806.0708333333332,33.33
0-12 Months,High,One year,6,2,0.3333333333333333,96.69166666666666,868.225,33.33
0-12 Months,Low,Month-to-month,518,154,0.2972972972972973,22.386196911196908,88.838416988417,29.73
61-72 Months,High,Month-to-month,71,21,0.29577464788732394,101.89154929577465,6663.261267605633,29.58
13-24 Months,Medium-Low,Month-to-month,198,53,0.2676767676767677,55.94873737373737,1019.3017676767677,26.77
49-60 Months,Medium-High,Month-to-month,62,15,0.24193548387096775,82.00403225806451,4401.160483870968,24.19
49-60 Months,High,One year,139,32,0.2302158273381295,101.5794964028777,5534.788489208633,23.02
25-48 Months,High,One year,118,24,0.2033898305084746,100.11186440677967,3880.5775423728815,20.34
49-60 Months,Medium-Low,Month-to-month,51,10,0.19607843137254902,53.188235294117646,2891.2480392156863,19.61
61-72 Months,High,One year,171,31,0.18128654970760233,103.82923976608187,6925.4739766081875,18.13
0-12 Months,Medium-Low,One year,28,5,0.17857142857142858,55.198214285714286,506.5892857142857,17.86
25-48 Months,Medium-Low,Month-to-month,185,30,0.16216216216216217,55.211891891891895,1908.93027027027,16.22
25-48 Months,Medium-High,One year,109,16,0.14678899082568808,79.22522935779816,2891.2032110091745,14.68
0-12 Months,Medium-High,One year,7,1,0.14285714285714285,77.25,756.3071428571428,14.29
49-60 Months,High,Two year,49,7,0.14285714285714285,103.58163265306122,5768.657142857143,14.29
25-48 Months,Low,Month-to-month,82,11,0.13414634146341464,24.273170731707317,809.0073170731708,13.41
13-24 Months,Low,Month-to-month,114,15,0.13157894736842105,23.400438596491227,408.06359649122805,13.16
