customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,TenureSegment,ChargeSegment,CustomerSegment,SegmentCustomerCount,SegmentChurnRate,RiskLevel,HighValueCustomer,SegmentChurnRatePercentage
3292-PBZEJ,Male,1,No,No,11,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,111.4,1183.05,0,0-12 Months,High,0-12 Months | High | Month-to-month,214,0.7710280373831776,High Risk,True,77.1
5760-IFJOZ,Male,0,No,No,3,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,No,Mailed check,107.95,313.6,0,0-12 Months,High,0-12 Months | High | Month-to-month,214,0.7710280373831776,High Risk,True,77.1
2081-VEYEH,Male,0,No,No,3,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,107.95,318.6,0,0-12 Months,High,0-12 Months | High | Month-to-month,214,0.7710280373831776,High Risk,True,77.1
6734-GMPVK,Male,0,No,No,5,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,No,Electronic check,105.3,550.6,0,0-12 Months,High,0-12 Months | High | Month-to-month,214,0.7710280373831776,High Risk,True,77.1
7145-FEJWU,Female,0,No,Yes,12,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,105.3,1275.65,0,0-12 Months,High,0-12 Months | High | Month-to-month,214,0.7710280373831776,High Risk,True,77.1
2018-PZKMU,Male,0,Yes,Yes,9,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,No,Electronic check,103.1,970.45,0,0-12 Months,High,0-12 Months | High | Month-to-month,214,0.7710280373831776,High Risk,True,77.1
9547-ITEFG,Male,0,Yes,Yes,9,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),102.6,897.75,0,0-12 Months,High,0-12 Months | High | Month-to-month,214,0.7710280373831776,High Risk,True,77.1
8118-TJAFG,Male,0,Yes,Yes,9,Yes,No,Fiber optic,No,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,101.5,906.85,0,0-12 Months,High,0-12 Months | High | Month-to-month,214,0.7710280373831776,High Risk,True,77.1
4132-KALRO,Female,0,No,No,4,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Mailed check,100.85,399.25,0,0-12 Months,High,0-12 Months | High | Month-to-month,214,0.7710280373831776,High Risk,True,77.1
0722-SVSFK,Female,0,No,No,7,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,100.4,715.0,0,0-12 Months,High,0-12 Months | High | Month-to-month,214,0.7710280373831776,High Risk,True,77.1
7379-FNIUJ,Male,0,No,No,2,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,No,Electronic check,100.2,198.5,0,0-12 Months,High,0-12 Months | High | Month-to-month,214,0.7710280373831776,High Risk,True,77.1
2754-SDJRD,Female,1,No,No,8,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),100.15,908.55,0,0-12 Months,High,0-12 Months | High | Month-to-month,214,0.7710280373831776,High Risk,True,77.1
4445-ZJNMU,Male,0,No,No,9,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),99.3,918.75,0,0-12 Months,High,0-12 Months | High | Month-to-month,214,0.7710280373831776,High Risk,True,77.1
6645-MXQJT,Male,0,Yes,Yes,2,Yes,No,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,97.1,184.15,0,0-12 Months,High,0-12 Months | High | Month-to-month,214,0.7710280373831776,High Risk,True,77.1
4566-NECEV,Male,0,No,No,5,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,No,Electronic check,96.55,500.1,0,0-12 Months,High,0-12 Months | High | Month-to-month,214,0.7710280373831776,High Risk,True,77.1
4060-LDNLU,Male,0,No,No,7,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,96.2,639.7,0,0-12 Months,High,0-12 Months | High | Month-to-month,214,0.7710280373831776,High Risk,True,77.1
7426-RHZGU,Male,0,No,No,9,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),95.9,827.45,0,0-12 Months,High,0-12 Months | High | Month-to-month,214,0.7710280373831776,High Risk,True,77.1
1393-IMKZG,Female,0,No,No,1,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,95.85,95.85,0,0-12 Months,High,0-12 Months | High | Month-to-month,214,0.7710280373831776,High Risk,True,77.1
4929-XIHVW,Male,1,Yes,No,2,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),95.5,181.65,0,0-12 Months,High,0-12 Months | High | Month-to-month,214,0.7710280373831776,High Risk,True,77.1
2984-AFWNC,Female,0,No,No,3,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,No,Electronic check,95.4,293.15,0,0-12 Months,High,0-12 Months | High | Month-to-month,214,0.7710280373831776,High Risk,True,77.1
1960-UYCNN,Male,0,No,No,10,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,95.25,1021.55,0,0-12 Months,High,0-12 Months | High | Month-to-month,214,0.7710280373831776,High Risk,True,77.1
5183-SNMJQ,Male,0,No,No,10,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),95.1,865.1,0,0-12 Months,High,0-12 Months | High | Month-to-month,214,0.7710280373831776,High Risk,True,77.1
7398-SKNQZ,Female,0,Yes,No,3,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,94.9,273.2,0,0-12 Months,High,0-12 Months | High | Month-to-month,214,0.7710280373831776,High Risk,True,77.1
9714-EDSUC,Male,0,No,No,4,Yes,No,Fiber optic,Yes,Yes,No,Yes,No,Yes,Month-to-month,Yes,Mailed check,94.9,360.55,0,0-12 Months,High,0-12 Months | High | Month-to-month,214,0.7710280373831776,High Risk,True,77.1
5150-ITWWB,Male,1,No,No,3,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,94.85,335.75,0,0-12 Months,High,0-12 Months | High | Month-to-month,214,0.7710280373831776,High Risk,True,77.1
5168-MSWXT,Male,0,Yes,Yes,8,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,94.75,759.55,0,0-12 Months,High,0-12 Months | High | Month-to-month,214,0.7710280373831776,High Risk,True,77.1
6350-XFYGW,Male,1,No,No,4,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,94.75,422.4,0,0-12 Months,High,0-12 Months | High | Month-to-month,214,0.7710280373831776,High Risk,True,77.1
3338-CVVEH,Male,0,No,No,12,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,94.55,1173.55,0,0-12 Months,High,0-12 Months | High | Month-to-month,214,0.7710280373831776,High Risk,True,77.1
9093-FPDLG,Female,0,No,No,11,Yes,No,Fiber optic,No,Yes,Yes,Yes,No,Yes,Month-to-month,Yes,Electronic check,94.2,999.9,0,0-12 Months,High,0-12 Months | High | Month-to-month,214,0.7710280373831776,High Risk,True,77.1
